time,open,high,low,close,volume
2024-01-02 15:05:00,0.86792,0.86817,0.86787,0.86806,1346.050029873848
2024-01-02 15:10:00,0.86805,0.86826,0.86781,0.86807,1355.6400334835052
2024-01-02 15:15:00,0.86807,0.8683,0.86806,0.86818,1127.5900262594223
2024-01-02 15:20:00,0.8682,0.86831,0.86774,0.86786,862.1800178289413
2024-01-02 15:25:00,0.86787,0.86801,0.86778,0.86798,1339.860030412674
2024-01-02 15:30:00,0.86799,0.8682,0.8678,0.8678,1027.82002556324
2024-01-02 15:35:00,0.86782,0.86814,0.86776,0.86801,1642.8900349140167
2024-01-02 15:40:00,0.86804,0.86818,0.86784,0.86814,1457.7400336265564
2024-01-02 15:45:00,0.86813,0.86817,0.86764,0.86794,1127.6600269079208
2024-01-02 15:50:00,0.86796,0.86803,0.86744,0.86746,1331.900032401085
2024-01-02 15:55:00,0.86747,0.86758,0.86674,0.86687,1907.4900434017181
2024-01-02 16:00:00,0.86686,0.86735,0.86683,0.86733,1315.0500280857086
2024-01-02 16:05:00,0.86735,0.8674,0.86716,0.86738,1069.6700259447098
2024-01-02 16:10:00,0.86737,0.86764,0.86724,0.86758,1059.7900269031525
2024-01-02 16:15:00,0.86759,0.86779,0.86749,0.86772,685.1100180149078
2024-01-02 16:20:00,0.86769,0.86813,0.86761,0.86798,742.8000217676163
2024-01-02 16:25:00,0.86797,0.86821,0.86791,0.86806,693.080019235611
2024-01-02 16:30:00,0.86807,0.86809,0.86782,0.86787,604.9000171422958
2024-01-02 16:35:00,0.86786,0.868,0.8678,0.86799,665.140021443367
2024-01-02 16:40:00,0.86804,0.86819,0.86757,0.8677,580.3000141382217
2024-01-02 16:45:00,0.86771,0.86788,0.86757,0.86784,714.6700211763382
2024-01-02 16:50:00,0.86783,0.86786,0.86761,0.86767,479.3100121021271
2024-01-02 16:55:00,0.86767,0.8677,0.86746,0.86754,482.8900113105774
2024-01-02 17:00:00,0.86755,0.86756,0.86728,0.8674,451.2300099134445
2024-01-02 17:05:00,0.86741,0.86742,0.86723,0.86741,317.47001004219055
2024-01-02 17:10:00,0.86739,0.86746,0.86706,0.86718,627.1000173091888
2024-01-02 17:15:00,0.86717,0.86727,0.86707,0.8672,522.590010881424
2024-01-02 17:20:00,0.86719,0.86723,0.86704,0.86718,538.8300131559372
2024-01-02 17:25:00,0.86719,0.86726,0.86714,0.8672,447.5200103521347
2024-01-02 17:30:00,0.86722,0.86725,0.86699,0.86702,460.67001020908356
2024-01-02 17:35:00,0.86703,0.86708,0.86695,0.86696,376.9000121355057
2024-01-02 17:40:00,0.86695,0.86702,0.86687,0.86687,456.9000116586685
2024-01-02 17:45:00,0.86688,0.86699,0.86682,0.86685,480.50001633167267
2024-01-02 17:50:00,0.86685,0.86703,0.86684,0.86694,676.6900207996368
2024-01-02 17:55:00,0.86694,0.86699,0.86683,0.86685,734.1200193166733
2024-01-02 18:00:00,0.86686,0.86713,0.86677,0.86712,430.3800084590912
2024-01-02 18:05:00,0.86711,0.86729,0.86705,0.86711,233.92000448703766
